Id,Name,Add,Zipcode,Tel,Website,Px,Py,Class,Spec,Serviceinfo,Parkinginfo,TotalNumberofRooms,LowestPrice,CeilingPrice,IndustryEmail
C4_315080000H_000008,思源居民宿,南投縣埔里鎮水頭里水頭路1號,545,886-49-2927101,,120.970365,23.935199,4,,,車位:小客車0輛、機車0輛、大客車0輛,3,2200,3600,sss050021@yahoo.com.tw
C4_315080000H_000015,凱旋新宿商旅,臺東縣臺東市復興里福建路243號1-5樓,950,886-89-311777,,121.151586,22.751471,3,,"自行車友善旅宿,",車位:小客車0輛、機車0輛、大客車0輛,40,4500,8000,
C4_315080000H_000018,觀關嚮戶民宿,臺東縣關山鎮豐泉里3鄰八德路28號,956,886-988-627798,,121.16198,23.05247,4,,,車位:小客車0輛、機車0輛、大客車0輛,4,4000,6000,hylovefamily@gmail.com
C4_315080000H_000019,克卜勒民宿,臺東縣鹿野鄉龍田村3鄰龍三路112巷20號,955,886-89-551891,https://www.facebook.com/Kepler2016/?ref=aymt_homepage_panel&amp;eid=ARDh6FM8mESba_ulOBGJxMwpHyQl3LWJAD8ca6cTVYDrYD017IVsuyEwtO65TobGzOyc_NqhKSqNf8mS,121.127894,22.904173,4,,"無線網路,,,,接送服務,,",車位:小客車0輛、機車0輛、大客車0輛,3,4500,5200,jackoo716@yahoo.com.tw
C4_315080000H_000020,柴柴屋,宜蘭縣五結鄉五結中路二段559巷5號,268,886-3-9507195,http://www.shibabnb.tw,121.79762,24.685754,4,套房3000;套房3000;,"餐廳,無線網路,停車場,,,接送服務,導覽解說,",車位:小客車1輛、機車1輛、大客車0輛,3,3000,3600,jeanlee0905@gmail.com
C4_315080000H_000021,蒂爾堡會館,南投縣埔里鎮枇杷里38鄰青田一街55號,545,886-939-136008,,120.975809,23.962861,4,,,車位:小客車0輛、機車0輛、大客車0輛,5,4800,6800,
C4_315080000H_000022,你來花蓮民宿,花蓮縣花蓮市民樂里民樂三街14號,970,886-933-799499,,121.629948,23.990617,4,,,車位:小客車0輛、機車0輛、大客車0輛,3,4800,4800,changcheng0914@gmail.com
C4_315080000H_000023,河岸咖啡民宿,雲林縣古坑鄉華山村華山86-12號,646,886-5-5900212,,120.585905,23.597586,4,,,車位:小客車0輛、機車0輛、大客車0輛,5,2200,2400,
C4_315080000H_000026,初鹿生態農莊民宿,臺東縣卑南鄉初鹿村17鄰初鹿二街103巷12弄6號,954,886-89-571547,,121.088294,22.85837,4,,,車位:小客車0輛、機車0輛、大客車0輛,3,6000,6000,Z324693@gmail.com
C4_315080000H_000028,凱莎琳庭園大飯店,高雄市前金區文武三街145號,801,886-7-2152158,,120.298378,22.620562,3,,,車位:小客車0輛、機車0輛、大客車0輛,48,1960,2940,kp_hotel@yahoo.com.tw
C4_315080000H_000032,南國海岸渡假特色民宿,屏東縣琉球鄉肚仔坪路8號,929,886-8-8613830,,120.363861,22.342554,4,,"無線網路,國民旅遊卡,,,,",車位:小客車0輛、機車0輛、大客車0輛,8,5600,10400,ert8281112@gmail.com
C4_315080000H_000034,旅聚居青年旅舍,高雄市新興區中山一路117號6樓,800,886-7-2851231,,120.301237,22.631603,3,,"無線網路,自助洗衣(收費),上網電腦(免費),,,,",車位:小客車0輛、機車0輛、大客車0輛,12,700,2000,tripggkh@gmail.com
C4_315080000H_000037,泰雅皇宮,南投縣仁愛鄉互助村清風路81號,546,886-49-2461311,http://www.atayal.com.tw,120.944563,24.069499,3,雙人房(無障礙客房)9800;雙人房(無障礙客房)9800;,,車位:小客車600輛、機車0輛、大客車0輛,112,9800,60000,t999866@atayal.com.tw
C4_315080000H_000039,柯林綠溪地生態農莊,宜蘭縣冬山鄉安農八路58號,269,886-935-150559,,121.737237,24.690546,4,,,車位:小客車0輛、機車0輛、大客車0輛,,,,
C4_315080000H_000040,瑞穗風情民宿,花蓮縣瑞穗鄉瑞美村中興路61之1號,978,886-975-131312,,121.378015,23.494499,4,,,車位:小客車0輛、機車0輛、大客車0輛,5,6000,6000,
C4_315080000H_000042,轉角休閒民宿,宜蘭縣五結鄉親河路一段222巷12號,268,886-3-9509668,https://casual-corner.com.tw,121.817542,24.66913,4,雙人房3000;其他4000;雙人房3600;,"無線網路,國民旅遊卡,停車場,,,,室內遊樂設施,,",車位:小客車1輛、機車0輛、大客車0輛,3,3000,4000,shuenn63129@gmail.com
C4_315080000H_000043,Lia-七星潭國際背包客棧民宿,花蓮縣新城鄉大漢村3鄰七星街112號,971,886-912-881000,,121.630268,24.026575,4,,,車位:小客車0輛、機車0輛、大客車0輛,3,2800,3200,m9021526@gmail.com
C4_315080000H_000044,小巷窄,臺南市中西區三合里忠孝街98巷8號,700,886-913-510830,,120.197455,22.999962,4,,,車位:小客車0輛、機車0輛、大客車0輛,1,2800,2800,sonice0601@gmail.com
C4_315080000H_000045,洛碁大飯店忠孝館,臺北市大安區忠孝東路四段180號1樓、4樓至14樓,106,886-2-27116869,http://zhongxiao.greenworldhotels.com,121.542774,25.041256,3,雙人房10000;單人房10000;單人房(無障礙客房)7500;雙人房10000;,"餐廳,會議場所,無線網路,國民旅遊卡,停車場,無障礙客房,自助洗衣(收費),上網電腦(免費),,,,洗衣服務,郵電服務,貴重物品保管專櫃,接送服務,AED,外幣兌換,自行車友善旅宿,,",車位:小客車35輛、機車0輛、大客車0輛,150,6000,10000,zhongxiao@greenworldhotels.com
C4_315080000H_000046,瑚岩美術館民宿,屏東縣琉球鄉中山路23號,929,886-8-8611092,http://www.corail23.com/,120.373558,22.345494,4,單人房4200;單人房4200;,,車位:小客車0輛、機車0輛、大客車0輛,,,,
C4_315080000H_000047,得恩谷?民宿,高雄市茂林區茂林里6鄰138號,851,886-7-6801540,,120.675734,22.896991,4,,,車位:小客車0輛、機車0輛、大客車0輛,5,4000,5000,
C4_315080000H_000050,奇巧民宿,花蓮縣富里鄉竹田村富田39-3號,983,886-3-8821106,http://www.netete.com/qiqiao,121.281821,23.21131,4,,,車位:小客車5輛、機車0輛、大客車0輛,3,2000,3000,
C4_315080000H_000051,朝昔廬客棧民宿,澎湖縣馬公市安宅里宅腳嶼200號,880,886-6-9210750,,119.606725,23.582509,4,套房4800;雙人房2800;雙人房2800;套房4000;,"停車場,有線網路,國民旅遊卡,,,導覽解說,體驗活動,",車位:小客車0輛、機車0輛、大客車0輛,4,2800,4800,
C4_315080000H_000055,風歌小棧民宿,南投縣埔里鎮牛眠里2鄰內埔路27號,545,886-49-2981098,http://windysong.okgo.tw,120.987549,23.98619,4,,,車位:小客車0輛、機車0輛、大客車0輛,5,5500,8800,billson.lin@gmail.com
C4_315080000H_000057,稻香亭民宿,南投縣魚池鄉大林村金天巷11號,555,886-49-2896915,,120.941334,23.874514,4,,,車位:小客車0輛、機車0輛、大客車0輛,5,1500,2500,chenlijoy@gmail.com
C4_315080000H_000058,迪噢叢林旅宿,屏東縣恆春鎮龍泉路3巷10號,946,886-988-576662,,120.740065,21.987644,4,,"無線網路,國民旅遊卡,停車場,溫泉設施,,,,寵物友善旅宿,,",車位:小客車0輛、機車0輛、大客車0輛,5,3800,6000,
C4_315080000H_000063,杉林溪主題會館,南投縣竹山鎮大鞍里溪山路6號,557,886-49-2611211,https://www.goto307.com.tw,120.792122,23.639695,3,雙人房(無障礙客房)4400;,"餐廳,會議場所,商店,無線網路,國民旅遊卡,停車場,高齡房,無障礙客房,,,,導覽解說,,",車位:小客車0輛、機車0輛、大客車0輛,261,4400,10600,sun.ls@msa.hinet.net
C4_315080000H_000064,摩天海灣商旅,高雄市前鎮區新光路21號21樓之7至12,806,886-7-5366227,https://www.sunshinegarden.com.tw/products-21.html,120.304611,22.611582,3,,"無線網路,自助洗衣(收費),,,,",車位:小客車0輛、機車0輛、大客車0輛,6,3980,6000,mbhotel888@gmail.com
C4_315080000H_000066,朋來觀海民宿,澎湖縣白沙鄉講美村講美41之5號,884,886-905-969672,,119.601758,23.629311,4,,,車位:小客車0輛、機車0輛、大客車0輛,5,2600,4000,even813125@gmail.com
C4_315080000H_000071,安德飯店,臺東縣綠島鄉南寮村漁港路6之1號1-2樓,951,886-89-672520,,121.473611,22.662393,3,,,車位:小客車0輛、機車0輛、大客車0輛,5,500,2000,
C4_315080000H_000072,瀧德銀旅店,屏東縣恆春鎮中正路232巷15弄2號,946,886-8-8880201,,120.743984,22.006554,4,,"有線網路,無線網路,停車場,,,,接送服務,行動支付,導覽解說,體驗活動,,",車位:小客車0輛、機車0輛、大客車0輛,3,4200,4800,
C4_315080000H_000073,紙飛機青年旅館,高雄市三民區博愛一路287號10樓,807,886-968-500985,,120.300873,22.649068,3,,"無線網路,國民旅遊卡,自助洗衣(收費),,,,洗衣服務,,",車位:小客車0輛、機車0輛、大客車0輛,13,2000,16000,pphosteltw@gmail.com
C4_315080000H_000074,瑞佳茶葉民宿,嘉義縣梅山鄉瑞里村幼葉林31號,603,886-5-2501025,,120.677484,23.538969,4,,,車位:小客車0輛、機車0輛、大客車0輛,3,1200,2000,
C4_315080000H_000076,阿里巴巴運動休閒民宿,花蓮縣花蓮市主農里中順街132號,970,886-3-8339715,http://www.albb.com,121.595928,23.97009,4,,,車位:小客車0輛、機車0輛、大客車0輛,5,3000,5000,uu910526tw@yahoo.com.tw
C4_315080000H_000077,悠趣旅店,臺北市松山區長安東路2段219號12樓,105,886-2-27752277,,121.544923,25.048338,3,,,車位:小客車0輛、機車0輛、大客車0輛,27,10000,15000,service@urtrip.com.tw
C4_315080000H_000078,新家大飯店,臺中市中區光復路45號1至5樓,400,886-4-22262125,,120.684779,24.140524,3,,,車位:小客車0輛、機車0輛、大客車0輛,28,700,1200,onlykckc@gmail.com
C4_315080000H_000080,立群花園民宿,花蓮縣吉安鄉仁安村南海四街47號,973,886-3-8422200,,121.595768,23.950736,4,,,車位:小客車0輛、機車0輛、大客車0輛,5,3200,4500,
C4_315080000H_000084,凱悅會館,屏東縣恆春鎮恆南路11巷2弄11號,946,886-8-8881426,http://www.facebook.com/hyattlnn,120.743083,22.001104,4,,,車位:小客車0輛、機車0輛、大客車0輛,5,2700,4500,hyattinn946@gmail.com
C4_315080000H_000086,文悅旅棧,臺南市中西區赤崁里忠義路2段132號1-6樓,700,886-6-2225655,,120.203883,22.995424,3,,"餐廳,會議場所,有線網路,無線網路,國民旅遊卡,停車場,上網電腦(免費),,,,洗衣服務,,",車位:小客車5輛、機車5輛、大客車0輛,13,4000,12000,reservations@cityplace.com.tw
C4_315080000H_000091,簡單生活商務旅館,高雄市前金區中華三路189號2至7樓,801,886-7-2166868,http://www.simplelifehotel.com,120.294614,22.632133,3,,,車位:小客車0輛、機車0輛、大客車0輛,48,3000,5000,simplylife79895208@gmail.com
C4_315080000H_000092,拾光悠宿民宿,花蓮縣玉里鎮民族街28-3號,981,886-953-613851,http://timehouse28-3.wix.com/wetime,121.313659,23.335502,4,,,車位:小客車0輛、機車0輛、大客車0輛,2,6000,6000,timehouse28-3@hotmail.com
C4_315080000H_000094,樂活民宿,臺東縣臺東市岩灣里文昌路61號,950,886-89-233203,http://www.lohasbnb.com,121.125711,22.790782,4,雙人房2300;套房2600;套房2400;套房2800;,"停車場,餐廳,有線網路,溫泉設施,,",車位:小客車0輛、機車0輛、大客車0輛,4,4200,4800,k34038@yahoo.com.tw
C4_315080000H_000097,緣道舍民宿,宜蘭縣冬山鄉柯林村境安二路156號,269,886-3-9617911,,121.736181,24.675966,4,,,車位:小客車0輛、機車0輛、大客車0輛,4,2600,2800,reisti88@gmail.com
C4_315080000H_000099,何留民宿,花蓮縣鳳林鎮榮開路88號,975,886-966-569200,,121.476427,23.778854,4,,,車位:小客車0輛、機車0輛、大客車0輛,3,5000,5000,holiu1212@gmail.com
C4_315080000H_000101,倆呆民宿,花蓮縣壽豐鄉豐山村和平街21號,974,886-3-8656858,,121.485657,23.84828,4,,"停車場,餐廳,有線網路,溫泉設施,,,自行車租借,導覽解說,",車位:小客車0輛、機車0輛、大客車0輛,4,3000,3600,yyj67927@ms22.hinet.net
C4_315080000H_000108,昭月民宿,臺中市東勢區慶福里慶福街39號,423,886-4-25855997,,120.85575,24.194461,4,其他6000;其他6000;,"餐廳,有線網路,國民旅遊卡,停車場,,,,導覽解說,體驗活動,,",車位:小客車0輛、機車0輛、大客車0輛,3,4200,6600,
C4_315080000H_000109,沐光旅店(民宿),屏東縣恆春鎮砂尾路16-60號,946,886-927-464892,,120.74072,21.95233,4,,,車位:小客車0輛、機車0輛、大客車0輛,2,3800,3800,
C4_315080000H_000110,海浪花客棧,連江縣南竿鄉仁愛村64號,209,886-836-22568,,119.924636,26.141994,4,,,車位:小客車0輛、機車0輛、大客車0輛,15,2000,3600,a0921930038@gmail.com
