期別,本月專題,摘要,檔案格式,檔案連結
第56卷第2期,思辨的科學實作,總召集人的話、本月專題：思辨的科學實作、國際青年學生物理辯論競賽在臺灣、透過研究實作養成科學邏輯能力—指導IYPT我國代表選手經驗分享、指導中文物理辯論賽之經驗—談科學探索與實作、指導中學生參與國際青年物理辯論競賽—之經驗?從場地設施需求談起、指導中學生參與國際青年物理辯論競賽之經驗?談實作指導過程、指導中學生參與國際青年物理辯論競賽之經驗?談實作教學成、森棚教官的數學題：暗戀的畢業照、教學現場：創意玩具自己做?磁力玩具大進擊、科學話題：前進巴布亞伊利安—華萊士線以東的生物世界、科學讀書會：《50則非知不可的化學概念》,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=3377
第56卷第1期,科普環島列車與科普週／日,總召集人的話、本月專題：科普環島列車　全臺遍地開花、科普列車?跨域合作的典範經驗、由下而上科普活動推廣一起推動「臺灣科學日」、光學探究與實作?臺灣科普環島列車雲林站、廟口旁的科學教育?科普列車到嘉義、反思與回饋?「臺灣科普環島列車」屏東站活動、列車迴向東海岸?臺東站與關山站、科普環島列車?即時上傳的解決方案(、教學現場：與親子一起飛?手擲機活動、森棚教官的數學題：立方費瑪數、科學話題：日本沖繩地質生態之旅（三）?愛情島的心型礁石成、科學讀書會：替未來尋找一顆星：來自科展的故事,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=3372
第55卷第12期,聽DNA和RNA的對話,總召集人的話、本月專題：聽DNA和RNA的對話、世紀關鍵分子：DNA與RNA、消失的信息RNA 鄭承平、李政怡、iGEM 金牌之路、藍色圓圈的約定、特別報導：課室外的跨域學習－從2016年青少年跨域整合人才培育計畫談起（下）、科學話題：日本沖繩地質生態之旅（二）：玉泉洞地下博物館、森棚教官的數學題：八隻青蛙游森棚、科學讀書會：《單位知識王：108個你從未想過的單位之謎》、第55卷目錄彙編,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=3364
第55卷第11期,科教館60週年館慶特刊 傳承?創新?科學教育,總召集人的話、總論：中小學科學教育推展的挑戰與機會、科學教育之發展與反思─從萌芽期、蓬勃期、挑戰期談起、制式科學教育發展：制式科學教育的發展與省思、從自然科學課程發展脈絡　看新課程的挑戰、科學領域的課程、教學與學習、超越紙筆之外─談科學教育之評量、面對教育改革的教師專業精進、非制式科學教育躍進：用非制式科學教育喚起民眾對於科學之海的渴望、從科普閱讀談科學素養、科學教育傳播新想法、科展競賽在我國科學教育所扮演的角色、博物館推動科學教育之創新作為─以科教館為例、創新與展望：從一甲子看百年─創新與展望、新時代教學的創新之道、行動網路世代的科學傳播─培養跨域整合的學習力、從尼安德塔人到機器智慧、科技在資訊教育的應用與發展,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=3333
第55卷第10期,科學新聞判讀力,總召集人的話、本月專題：科學新聞判讀力是全民科學素養的指標、正確判讀科學新聞　享受閱讀科學樂趣、科學新聞難道不能好吃好玩又有營養嗎？ 、：嚇死我了─這些究竟能不能吃？ 、科學閱讀的素養表現、教學現場：為MAKER出聲—結合傳統與數位的自造課程、特別報導：課室外的跨域學習－從2016年青少年跨域整合人才培育計畫談起（上）(、科學話題：日本沖繩地質生態之旅（一）：「潛水看鯨鯊」背後的二、三事 、森棚教官的數學題：三角形分三片、科學讀書會：《數理化通俗演義 (上) (下)【修訂新版】》,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=3257
第55卷第9期,氣象老先覺,總召集人的話、本月專題：氣象前輩足跡　後進最好路標、學術、氣象、航太、研發四棲的領導者─蔡清彥、動盪年代中堅持科學夢─王斌、「熱血壞學生」的科學路─張智北、致力臺灣梅雨研究四十載─陳泰然、從無線電探測大氣到奠基永續─劉兆漢、科展特別報導：大學長V.S小後學—中研院廖俊智院長等傑出學者與中小學科展首獎同學的對話、教學現場：科學創意教學活動：搖擺重心玩具、森棚教官的數學題：六邊形對抗賽、科學話題：臺灣生物多樣性中的「猴、科學讀書會：《植物比你想的更聰明：植物智能的探索之旅》,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=3234
第55卷第8期,生態復育與學校課程 ,總召集人的話、本月專題：生態復育與學校課程、淡水濕地魚類的消長、臺北市中正高中探究與實作課程─戀戀火金姑、校園生態工法設計與課程結合的新思維、桃園陂塘水生植物的復育─以楊梅高榮濕地為例、嵩山社區的梯田復育與農村活化之路、教學現場：心智圖法在曲軸機構設計的創意教學應用、科學話題：詩詞中的蛙、科學讀書會：《謠言粉碎機：謠聲一變，別被流言嚇傻了！》、科教館GO好玩：一起來當MAKER吧！─寫在「自造X教育週」活動之後(、森棚教官的數學題：等差好朋友,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=3233
第55卷第7期,我家也是牠家(下),總召集人的話、本月專題：〈我家也是牠家（下）〉、〈床上的吸血鬼—臭蟲〉、〈螞蟻—你家的小小房客〉、〈誤入都市叢林的白蟻〉、〈網路高手—蜘蛛〉、教學現場：〈化學學習新體驗：3D分子博覽會〉、教學現場：〈STEAM取向的小學科技教學活動設計與實施─以跑跑平衡車為例〉、科展指導來時路：〈科學探究之美〉、科展特別報導：〈第56屆全國科展7月登場 桃園市力推「科普文化」〉、科教館GO好玩：〈2016三大國際科展獲獎率逾9成 臺灣囝仔好樣的！〉、森棚教官的數學題：〈亂轉彎的士兵〉、科學讀書會：《鏽：自然與金屬間無止盡的角力》,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=3232
第55卷第6期,我家也是牠家(上),總召集人的話、本月專題：我家也是牠家（上）、「蚊」鳴的開始、「蠅」在起跑點—漫談家居蠅類、住家蟑螂為患、蚤—吸血性的無翅跳躍高手、教學現場：中學生常見的比例迷思概念、森棚教官的數學題：考倒老師、科學話題：從天空看0206美濃地震地表變形、科學讀書會：料理科學：大廚說不出的美味祕密，150個最有趣的烹飪現象與原理、科教館GO好玩：與科學相遇的最初感動—105年科教館暑期營隊,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=3231
第55卷第5期,特別專輯—Maker教育進行式,總召集人的話、Maker教育進行式、以課程專題實踐學科Maker教育、自造日新　日新智造—校長領導與Maker教育發展歷程分享、高雄師大自造基地的動力革命、Maker教育—創新發明我也行、投身行政機關　成為Maker教育推手、初探我的兩岸創客教育歷程、大陸3D列印教育心得與兩岸比較,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=3151
